Date,Open,High,Low,Close,Volume,Change
1994-02-28,46.9375,47.0625,46.8125,46.8125,333000,0.0
1994-03-01,46.8125,46.90625,46.375,46.625,423600,-0.004005340453938585
1994-03-02,46.03125,46.6875,45.90625,46.6875,581500,0.0013404825737265416
1994-03-03,46.625,46.625,46.4375,46.5625,223200,-0.002677376171352075
1994-03-04,46.5625,46.8125,46.40625,46.6875,595800,0.0026845637583892616
1994-03-07,46.84375,47.0,46.84375,46.9375,539800,0.00535475234270415
1994-03-08,46.96875,46.96875,46.6875,46.75,880300,-0.0039946737683089215
1994-03-09,46.8125,47.0,46.59375,46.96875,2500100,0.004679144385026738
1994-03-10,46.9375,46.9375,46.4375,46.59375,207400,-0.007984031936127744
1994-03-11,46.65625,46.90625,46.40625,46.84375,576600,0.0053655264922870555
1994-03-14,47.03125,47.03125,46.84375,46.90625,345900,0.00133422281521014
1994-03-15,47.0,47.09375,46.84375,46.875,748600,-0.0006662225183211193
1994-03-16,46.9375,47.25,46.78125,47.25,455500,0.008
1994-03-17,47.09375,47.3125,47.09375,47.25,133000,0.0
1994-03-18,46.75,47.03125,46.71875,46.96875,365500,-0.005952380952380952
1994-03-21,46.8125,46.9375,46.71875,46.84375,324800,-0.0026613439787092482
1994-03-22,46.84375,47.0625,46.75,46.96875,435700,0.00266844563042028
1994-03-23,46.9375,47.0625,46.90625,46.9375,698500,-0.0006653359946773121
1994-03-24,46.75,46.84375,46.15625,46.375,1200500,-0.011984021304926764
1994-03-25,46.40625,46.53125,45.9375,45.9375,100900,-0.009433962264150943
1994-03-28,46.0,46.0625,45.59375,46.0,1117200,0.0013605442176870747
1994-03-29,46.0,46.03125,45.09375,45.09375,338400,-0.01970108695652174
1994-03-30,45.125,45.25,44.46875,44.46875,1123900,-0.01386001386001386
1994-03-31,44.46875,44.6875,43.53125,44.59375,788800,0.0028109627547434997
1994-04-04,43.34375,44.03125,43.34375,43.90625,2627300,-0.015416958654519973
1994-04-05,44.34375,44.8125,44.34375,44.8125,1179000,0.020640569395017794
1994-04-06,44.875,44.90625,44.5,44.8125,516500,0.0
1994-04-07,44.78125,45.125,44.53125,45.03125,666100,0.0048814504881450485
1994-04-08,44.9375,44.9375,44.46875,44.6875,242400,-0.007633587786259542
1994-04-11,44.8125,45.0625,44.703125,44.875,203300,0.004195804195804196
1994-04-12,44.921875,45.0,44.71875,44.8125,1409200,-0.001392757660167131
1994-04-13,44.796875,44.90625,44.25,44.578125,364100,-0.005230125523012552
1994-04-14,44.5,44.828125,44.40625,44.59375,419900,0.0003505082369435682
1994-04-15,44.578125,44.78125,44.515625,44.59375,387300,0.0
1994-04-18,44.640625,44.765625,44.15625,44.296875,369100,-0.006657323055360897
1994-04-19,44.25,44.53125,43.984375,44.359375,472200,0.0014109347442680777
1994-04-20,44.40625,44.515625,44.078125,44.3125,508000,-0.0010567101091933778
1994-04-21,44.5,44.96875,44.34375,44.90625,200300,0.013399153737658674
